1, 29497, Tempo, 447761
1, 29563, Tempo, 449438
1, 29633, Tempo, 451128
1, 29700, Tempo, 452830
1, 29751, Tempo, 863309
1, 29767, Tempo, 454545
1, 29833, Tempo, 456274
1, 29903, Tempo, 458015
1, 29970, Tempo, 459770
1, 30037, Tempo, 461538
1, 30103, Tempo, 463320
1, 30173, Tempo, 465116
1, 30232, Tempo, 857143
1, 30248, Tempo, 863309
1, 30250, Tempo, 468750
1, 30307, Tempo, 468750
1, 30352, Tempo, 863309
1, 30373, Tempo, 470588
1, 30443, Tempo, 472441
1, 30510, Tempo, 474308
1, 30577, Tempo, 476190
1, 30643, Tempo, 478088
1, 30713, Tempo, 480000
1, 30780, Tempo, 481928
1, 30847, Tempo, 483871
1, 30913, Tempo, 485830
1, 30915, Tempo, 485830
1, 30920, Tempo, 487805
1, 30926, Tempo, 489796
1, 30931, Tempo, 491803
1, 30936, Tempo, 493827
1, 30941, Tempo, 495868
1, 30946, Tempo, 497925
1, 30951, Tempo, 500000
1, 30956, Tempo, 502092
1, 30961, Tempo, 504202
1, 30966, Tempo, 506329
1, 30972, Tempo, 508475
1, 30977, Tempo, 510638
1, 30982, Tempo, 512821
1, 30987, Tempo, 515021
1, 30992, Tempo, 517241
1, 30997, Tempo, 519481
1, 31002, Tempo, 521739
1, 31007, Tempo, 524017
1, 31012, Tempo, 526316
1, 31018, Tempo, 528634
1, 31023, Tempo, 530973
1, 31028, Tempo, 533333
1, 31033, Tempo, 535714
1, 31038, Tempo, 538117
1, 31043, Tempo, 540541
1, 31048, Tempo, 542986
1, 31053, Tempo, 545455
1, 31058, Tempo, 547945
1, 31065, Tempo, 552995
1, 31068, Tempo, 555556
1, 31071, Tempo, 558140
1, 31073, Tempo, 560748
1, 31076, Tempo, 563380
1, 31078, Tempo, 566038
1, 31081, Tempo, 568720
1, 31083, Tempo, 571429
1, 31086, Tempo, 574163
1, 31089, Tempo, 576923
1, 31091, Tempo, 579710
1, 31094, Tempo, 582524
1, 31096, Tempo, 585366
1, 31099, Tempo, 588235
1, 31101, Tempo, 591133
1, 31104, Tempo, 594059
1, 31106, Tempo, 597015
1, 31109, Tempo, 600000
1, 31112, Tempo, 603015
1, 31114, Tempo, 612245
1, 31116, Tempo, 615385
1, 31117, Tempo, 618557
1, 31119, Tempo, 621762
1, 31120, Tempo, 625000
1, 31122, Tempo, 628272
1, 31123, Tempo, 631579
1, 31125, Tempo, 634921
1, 31126, Tempo, 638298
